ATP,Tournament,Tournament_Int,Date,Series,Series_Int,Court,Court_Int,Surface,Surface_Int,Round,Round_Int,Best_of,Winner,Winner_Int,Player1,Player1_Int,Player2,Player2_Int,Player1_Rank,Player2_Rank,Player1_Odds,Player2_Odds
1,BrisbaneInternational,1.2757,1/1/17,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,ThompsonJ.,6.7926,ThompsonJ.,6.7926,YmerE.,6.0375,79,160,1.29,3.5
1,BrisbaneInternational,1.2757,1/2/17,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,MahutN.,6.9297,MahutN.,6.9297,RobertS.,6.9152,39,54,1.54,2.43
1,BrisbaneInternational,1.2757,1/2/17,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,FerrerD.,6.3881,FerrerD.,6.3881,TomicB.,6.6345,21,26,2.01,1.77
1,BrisbaneInternational,1.2757,1/2/17,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,EdmundK.,6.8384,EdmundK.,6.8384,EscobedoE.,6.1645,45,141,1.37,3.01
1,BrisbaneInternational,1.2757,1/2/17,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,DimitrovG.,6.5157,DimitrovG.,6.5157,JohnsonS.,6.1087,17,33,1.41,2.85
1,BrisbaneInternational,1.2757,1/3/17,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,DonaldsonJ.,6.9054,DonaldsonJ.,6.9054,MullerG.,6.1554,105,34,2.64,1.47
1,BrisbaneInternational,1.2757,1/3/17,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,GrothS.,6.9961,GrothS.,6.9961,HerbertP.H.,6.4789,180,78,2.27,1.61
1,BrisbaneInternational,1.2757,1/3/17,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,PouilleL.,6.8045,PouilleL.,6.8045,SimonG.,6.6388,15,25,1.83,1.94
1,BrisbaneInternational,1.2757,1/3/17,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,TroickiV.,6.8786,TroickiV.,6.8786,NishiokaY.,6.774,29,100,1.49,2.57
1,BrisbaneInternational,1.2757,1/3/17,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,SchwartzmanD.,6.0786,SchwartzmanD.,6.0786,QuerreyS.,6.8631,52,31,2.18,1.66
1,BrisbaneInternational,1.2757,1/3/17,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,ZverevM.,6.4668,ZverevM.,6.4668,DeMinaurA.,6.5986,51,351,1.45,2.7
1,BrisbaneInternational,1.2757,1/3/17,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,1stRound,5.1257,3,NadalR.,6.2304,NadalR.,6.2304,DolgopolovO.,6.6982,9,62,1.14,5.34
1,BrisbaneInternational,1.2757,1/4/17,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,NishikoriK.,6.1257,NishikoriK.,6.1257,DonaldsonJ.,6.4943,5,105,1.11,6.37
1,BrisbaneInternational,1.2757,1/4/17,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,ThompsonJ.,6.7926,ThompsonJ.,6.7926,FerrerD.,6.0277,79,21,4.46,1.2
1,BrisbaneInternational,1.2757,1/4/17,ATP250,2.9693,Outdoor,3.6494,Hard,4.4983,2ndRound,5.2511,3,EdmundK.,6.8384,EdmundK.,6.8384,PouilleL.,6.4432,45,15,2.51,1.51
